id_codedep_codecommune,Code_postal,Id_bien,Surface_carrez,Type_local,Total_piece
01103,1170,1,48.22,Appartement,3
06004,6160,2,39.11,Appartement,1
06088,6000,3,80.25,Appartement,3
06123,6700,4,27.51,Appartement,1
13005,13400,5,47.33,Appartement,2
13028,13600,6,25.31,Appartement,1
13208,13008,7,70.84,Appartement,3
13212,13012,8,67.19,Appartement,3
14338,14510,9,18.89,Appartement,1
14366,14100,10,105.37,Maison,4
17300,17000,11,31.99,Appartement,2
25056,25000,12,96.21,Maison,5
29232,29000,13,30.86,Appartement,1
29260,29290,14,66.21,Appartement,3
31555,31500,15,45.58,Appartement,2
33063,33800,16,23.2,Appartement,1
33063,33000,17,13.1,Appartement,1
33097,33121,18,29,Appartement,2
33449,33160,19,51.4,Appartement,2
34145,34400,20,16.79,Appartement,1
34150,34340,21,51.4,Appartement,2
34199,34120,22,68.22,Appartement,3
37156,37270,23,88.45,Maison,4
37261,37000,24,42.94,Appartement,2
38185,38000,25,76.48,Appartement,4
40266,40170,26,48.23,Maison,3
40328,40480,27,49.91,Appartement,2
44143,44400,28,46.3,Appartement,2
44184,44600,29,47.24,Appartement,2
51230,51200,30,81.09,Appartement,4
54395,54000,31,39.69,Appartement,2
56161,56400,32,43.85,Appartement,3
58194,58000,33,108.78,Appartement,4
59512,59100,34,89.84,Appartement,3
60057,60000,35,48.35,Appartement,2
60155,60660,36,19.11,Appartement,1
60159,60200,37,97.39,Appartement,5
60524,60290,38,31.73,Appartement,1
69149,69600,39,49.89,Appartement,2
69384,69004,40,20.02,Appartement,1
74119,74500,41,34.86,Appartement,2
74236,74170,42,39.05,Appartement,2
74238,74430,43,18.93,Appartement,1
74278,74300,44,88.59,Appartement,4
75105,75005,45,30.05,Appartement,2
75110,75010,46,32.3,Appartement,2
75111,75011,47,120.28,Appartement,4
75111,75011,48,17.94,Appartement,2
75111,75011,49,28.39,Appartement,2
75112,75012,50,18,Appartement,2
75112,75012,51,51.44,Appartement,3
75112,75012,52,10.06,Appartement,1
75115,75015,53,88.3,Appartement,4
75118,75018,54,23.98,Appartement,1
75118,75018,55,53.59,Appartement,2
75118,75018,56,24.30,Appartement,2
76217,76200,57,61.52,Appartement,4
76451,76130,58,57.27,Appartement,3
76655,76460,59,23.98,Appartement,1
77118,77410,60,35.32,Appartement,2
78350,78430,61,89.41,Appartement,4
78423,78180,62,106.19,Appartement,5
78545,78210,63,67.76,Appartement,4
78545,78210,64,40.55,Appartement,2
78551,78100,65,84.31,Appartement,5
78586,78500,66,74,Appartement,3
78640,78140,67,49.16,Appartement,2
83062,83130,68,50.74,Appartement,2
83069,83400,69,20.15,Appartement,1
83112,83270,70,47.52,Appartement,2
83123,83110,71,86.92,Maison,5
84007,84000,72,37.24,Appartement,2
85047,85300,73,43.12,Appartement,2
86062,86360,74,30.42,Appartement,1
86194,86000,75,71.03,Appartement,4
87075,87170,76,62.95,Appartement,2
87085,87100,77,43.54,Appartement,2
91249,91470,78,128.34,Appartement,5
91689,91320,79,43.42,Appartement,2
92025,92700,80,49.45,Appartement,3
92026,92400,81,62.1,Appartement,3
92036,92230,82,59.35,Appartement,3
92044,92300,83,52.85,Appartement,2
93032,93220,84,106.31,Maison,4
93051,93160,85,77.93,Appartement,4
93057,93320,86,46,Appartement,2
93071,93270,87,24.63,Appartement,2
94044,94450,88,67.1,Appartement,3
94060,94510,89,80,Maison,4
94060,94510,90,48.02,Appartement,2
94080,94300,91,16.37,Appartement,1
95252,95130,92,72.53,Appartement,4
95388,95180,93,90.07,Maison,5
95607,95150,94,57.1,Appartement,3
01262,1120,95,41.82,Appartement,1
02408,2000,96,165.11,Appartement,6
03190,3000,97,124.01,Appartement,3
04073,4400,98,24.32,Appartement,1
04166,4500,99,106.43,Appartement,4
04209,4200,100,32.89,Appartement,1
06004,6600,101,37.66,Appartement,2
06027,6800,102,58.42,Appartement,3
06088,6000,103,99.04,Appartement,4
06088,6000,104,30.2,Appartement,3
06088,6100,105,68.75,Appartement,3
06159,6230,106,56.05,Appartement,2
10323,10100,107,55.5,Appartement,3
13119,13470,108,53.09,Appartement,3
13201,13001,109,48.24,Appartement,2
13204,13004,110,28.40,Appartement,1
13206,13006,111,51.01,Appartement,3
13209,13009,112,51.54,Appartement,3
14118,14000,113,34.83,Appartement,2
14333,14600,114,12.44,Appartement,1
14715,14360,115,53.76,Appartement,2
14754,14640,116,52.82,Maison,2
17300,17000,117,32.18,Appartement,1
17414,17138,118,49.9,Maison,3
22113,22300,119,68.3,Appartement,4
22168,22700,120,54.42,Appartement,2
22278,22000,121,64,Appartement,4
24322,24000,122,31.05,Appartement,1
25527,25410,123,127.96,Appartement,5
28085,28000,124,106.03,Maison,5
30003,30220,125,32.29,Appartement,2
30007,30100,126,39.5,Appartement,2
30133,30240,127,20,Appartement,1
30189,30900,128,60.07,Appartement,3
32013,32000,129,54,Appartement,2
33005,33510,130,44.12,Appartement,2
33063,33000,131,61.16,Appartement,4
33075,33520,132,86.3,Maison,4
33550,33140,133,39.23,Appartement,2
34023,34540,134,24.60,Appartement,1
37261,37100,135,42.2,Appartement,2
37261,37000,136,63.1,Appartement,3
38169,38600,137,21,Appartement,1
38185,38000,138,95.74,Appartement,3
38253,38860,139,60.55,Appartement,3
40046,40600,140,29.78,Maison,1
40088,40100,141,18.63,Appartement,1
40304,40150,142,82.35,Maison,3
42256,42680,143,94.39,Maison,4
44109,44100,144,62.14,Appartement,3
44190,44230,145,47.34,Appartement,2
44204,44470,146,42.25,Appartement,2
45234,45000,147,65.71,Appartement,3
45286,45650,148,72.37,Appartement,1
50002,50180,149,57.88,Appartement,2
51454,51100,150,119.95,Appartement,4
54395,54000,151,36.6,Appartement,2
